"Bacteria;Abditibacteriota;Abditibacteria","Bacteria;Acidobacteriota;Acidobacteriae","Bacteria;Acidobacteriota;Blastocatellia","Bacteria;Acidobacteriota;Holophagae","Bacteria;Acidobacteriota;Subgroup 11","Bacteria;Acidobacteriota;Subgroup 22","Bacteria;Acidobacteriota;Subgroup 5","Bacteria;Acidobacteriota;Thermoanaerobaculia","Bacteria;Acidobacteriota;Vicinamibacteria","Bacteria;Actinobacteriota;Acidimicrobiia","Bacteria;Actinobacteriota;Actinobacteria","Bacteria;Actinobacteriota;Coriobacteriia","Bacteria;Actinobacteriota;MB-A2-108","Bacteria;Actinobacteriota;Rubrobacteria","Bacteria;Actinobacteriota;Thermoleophilia","Bacteria;Armatimonadota;Armatimonadia","Bacteria;Armatimonadota;Fimbriimonadia","Bacteria;Armatimonadota;uncultured","Bacteria;Bacteroidota;Bacteroidia","Bacteria;Bacteroidota;Kapabacteria","Bacteria;Bacteroidota;SJA-28","Bacteria;Bdellovibrionota;Bdellovibrionia","Bacteria;Bdellovibrionota;Oligoflexia","Bacteria;Chloroflexi;AD3","Bacteria;Chloroflexi;Anaerolineae","Bacteria;Chloroflexi;Chloroflexia","Bacteria;Chloroflexi;Dehalococcoidia","Bacteria;Chloroflexi;JG30-KF-CM66","Bacteria;Chloroflexi;KD4-96","Bacteria;Chloroflexi;Ktedonobacteria","Bacteria;Chloroflexi;NA","Bacteria;Chloroflexi;TK10","Bacteria;Cyanobacteria;Sericytochromatia","Bacteria;Deinococcota;Deinococci","Bacteria;Dependentiae;Babeliae","Bacteria;Desulfobacterota;Desulfovibrionia","Bacteria;Desulfobacterota;Desulfuromonadia","Bacteria;Desulfobacterota;Syntrophobacteria","Bacteria;Desulfobacterota;uncultured","Bacteria;Elusimicrobiota;Elusimicrobia","Bacteria;Elusimicrobiota;Lineage IIa","Bacteria;Elusimicrobiota;Lineage IIb","Bacteria;Entotheonellaeota;Entotheonellia","Bacteria;FCPU426;NA","Bacteria;Fibrobacterota;Fibrobacteria","Bacteria;Firmicutes;Bacilli","Bacteria;Firmicutes;Clostridia","Bacteria;Firmicutes;Desulfitobacteriia","Bacteria;Firmicutes;Desulfotomaculia","Bacteria;Firmicutes;Dethiobacteria","Bacteria;Firmicutes;Limnochordia","Bacteria;Firmicutes;NA","Bacteria;Firmicutes;Negativicutes","Bacteria;Firmicutes;Symbiobacteriia","Bacteria;Firmicutes;Syntrophomonadia","Bacteria;Firmicutes;Thermoanaerobacteria","Bacteria;Gemmatimonadota;BD2-11 terrestrial group","Bacteria;Gemmatimonadota;Gemmatimonadetes","Bacteria;Gemmatimonadota;Longimicrobia","Bacteria;Gemmatimonadota;S0134 terrestrial group","Bacteria;Halanaerobiaeota;Halanaerobiia","Bacteria;Methylomirabilota;Methylomirabilia","Bacteria;Myxococcota;bacteriap25","Bacteria;Myxococcota;Myxococcia","Bacteria;Myxococcota;Polyangia","Bacteria;NA;NA","Bacteria;NB1-j;NA","Bacteria;NB1-j;uncultured bacterium","Bacteria;Nitrospirota;Nitrospiria","Bacteria;Patescibacteria;Saccharimonadia","Bacteria;Planctomycetota;OM190","Bacteria;Planctomycetota;Phycisphaerae","Bacteria;Planctomycetota;Pla4 lineage","Bacteria;Planctomycetota;Planctomycetes","Bacteria;Planctomycetota;vadinHA49","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;RCP2-54;uncultured bacterium","Bacteria;SAR324 clade(Marine group B);uncultured bacterium","Bacteria;Spirochaetota;Leptospirae","Bacteria;Spirochaetota;Spirochaetia","Bacteria;Verrucomicrobiota;Chlamydiae","Bacteria;Verrucomicrobiota;Verrucomicrobiae"
"T2.Ndiizi.rhizo",3.80952380952381e-05,0.0165714285714286,0.000114285714285714,0,3.80952380952381e-05,3.80952380952381e-05,0.00213333333333333,0.00060952380952381,0,0.00666666666666667,0.173790476190476,3.80952380952381e-05,0.00102857142857143,0.000152380952380952,0.0972571428571429,0.000114285714285714,0,0,0.000266666666666667,0,0,0.000419047619047619,0.00243809523809524,0.000952380952380952,0,0.000876190476190476,0.000457142857142857,0.00019047619047619,0.000304761904761905,0.00144761904761905,0.000152380952380952,0.00304761904761905,0.000380952380952381,0,0.000152380952380952,0,0.000419047619047619,0,0.00060952380952381,3.80952380952381e-05,0,0,0.000114285714285714,0,0.000152380952380952,0.560419047619048,0.0196571428571429,8e-04,0.000152380952380952,0,0.000114285714285714,3.80952380952381e-05,0,0.000495238095238095,3.80952380952381e-05,0,0,0.00754285714285714,0,3.80952380952381e-05,0,0,0.000228571428571429,0.00792380952380952,0.011047619047619,7.61904761904762e-05,0,7.61904761904762e-05,0.000685714285714286,7.61904761904762e-05,0,0.000457142857142857,3.80952380952381e-05,3.80952380952381e-05,0.000152380952380952,0.0452571428571429,0.0252952380952381,0.00019047619047619,0,0,0,3.80952380952381e-05,0.00811428571428571
"T5.Ndizi.rhizo",7.61904761904762e-05,0.0147809523809524,7.61904761904762e-05,0.000266666666666667,0,0,0.0011047619047619,0.00019047619047619,0.000114285714285714,0.00704761904761905,0.120228571428571,0,0.000266666666666667,7.61904761904762e-05,0.0734857142857143,0.000228571428571429,0.000114285714285714,0,0.0016,3.80952380952381e-05,0,0.00125714285714286,0.00342857142857143,0.0012952380952381,7.61904761904762e-05,0.000876190476190476,0.00156190476190476,0.000152380952380952,0.000114285714285714,0.00167619047619048,0.000152380952380952,0.00293333333333333,0.00232380952380952,0,0.000266666666666667,0,0.00163809523809524,3.80952380952381e-05,0.00060952380952381,0.000114285714285714,0,3.80952380952381e-05,0,3.80952380952381e-05,0.000380952380952381,0.570971428571429,0.0328761904761905,0.00156190476190476,0.000723809523809524,0,3.80952380952381e-05,0.000114285714285714,0,0.000266666666666667,0.000114285714285714,3.80952380952381e-05,0,0.0052952380952381,0.00019047619047619,3.80952380952381e-05,0.000457142857142857,0,7.61904761904762e-05,0.00971428571428572,0.0104380952380952,0.000114285714285714,0,3.80952380952381e-05,0.000571428571428571,0,0,0.000266666666666667,0.000152380952380952,3.80952380952381e-05,0.000152380952380952,0.0804571428571429,0.0387428571428571,0.000152380952380952,0,0,3.80952380952381e-05,0.000228571428571429,0.00746666666666667
"T4.Bogoya.Ctrl",4.3956043956044e-05,0.0100659340659341,0.000175824175824176,4.3956043956044e-05,0,0,0.00136263736263736,0.000395604395604396,0,0.00417582417582418,0.151604395604396,0,0.000263736263736264,0.000131868131868132,0.061978021978022,4.3956043956044e-05,4.3956043956044e-05,0,0.000131868131868132,0,0,0.000307692307692308,0.00140659340659341,0.00101098901098901,8.79120879120879e-05,0.000527472527472528,0.000395604395604396,4.3956043956044e-05,8.79120879120879e-05,0.00145054945054945,8.79120879120879e-05,0.00167032967032967,0.000175824175824176,4.3956043956044e-05,0,0,8.79120879120879e-05,0,0.000527472527472528,0,0,0,4.3956043956044e-05,0,0.00021978021978022,0.653010989010989,0.0168791208791209,0.000175824175824176,0.000175824175824176,0,8.79120879120879e-05,0,0,0.000571428571428571,4.3956043956044e-05,0,0,0.00764835164835165,8.79120879120879e-05,8.79120879120879e-05,0.000131868131868132,0,4.3956043956044e-05,0.0104175824175824,0.0104615384615385,0,0,0,0.000659340659340659,0.000175824175824176,0,0.000395604395604396,0,0,0,0.0326153846153846,0.0206153846153846,0,4.3956043956044e-05,0,0,0.000175824175824176,0.00685714285714286
"T1.Bogoya.rhizo",0,0.0119238095238095,3.80952380952381e-05,0.000114285714285714,0,3.80952380952381e-05,0.00156190476190476,0.000304761904761905,3.80952380952381e-05,0.004,0.127009523809524,0,0.000342857142857143,3.80952380952381e-05,0.0649904761904762,0,7.61904761904762e-05,0,0.000114285714285714,0,0,0.000114285714285714,0.00186666666666667,0.00121904761904762,0,0.000952380952380952,0.00060952380952381,7.61904761904762e-05,0,0.00144761904761905,7.61904761904762e-05,0.00213333333333333,0.000419047619047619,0,7.61904761904762e-05,0,0.000304761904761905,0,0.000228571428571429,0,0,0.000114285714285714,3.80952380952381e-05,0,0.000114285714285714,0.662095238095238,0.0165333333333333,0.000304761904761905,7.61904761904762e-05,0,0.000114285714285714,0,0.000304761904761905,0.000228571428571429,3.80952380952381e-05,3.80952380952381e-05,3.80952380952381e-05,0.00777142857142857,7.61904761904762e-05,0.000114285714285714,0,3.80952380952381e-05,3.80952380952381e-05,0.0141333333333333,0.0124571428571429,7.61904761904762e-05,3.80952380952381e-05,0,0.000228571428571429,0,0,7.61904761904762e-05,3.80952380952381e-05,3.80952380952381e-05,7.61904761904762e-05,0.0368,0.0212190476190476,7.61904761904762e-05,0,0,0,0,0.00655238095238095
"T6.Bogoya.rhizo",0,0.0376761904761905,0.000228571428571429,0.000342857142857143,3.80952380952381e-05,0,0.00441904761904762,0.00293333333333333,7.61904761904762e-05,0.0111238095238095,0.162628571428571,0,0.00114285714285714,3.80952380952381e-05,0.111428571428571,0.000304761904761905,0.000152380952380952,0,0.000952380952380952,0,0,0.000419047619047619,0.00236190476190476,0.0024,0.000152380952380952,0.00125714285714286,0.000419047619047619,0.000228571428571429,3.80952380952381e-05,0.00346666666666667,0.000304761904761905,0.00521904761904762,0.000495238095238095,0,0.000266666666666667,0,0.000495238095238095,0,0.00099047619047619,0,0.000114285714285714,3.80952380952381e-05,0.000228571428571429,0,0.00019047619047619,0.404952380952381,0.017447619047619,0.000723809523809524,0.00019047619047619,0,3.80952380952381e-05,0,3.80952380952381e-05,0.000114285714285714,0,0,3.80952380952381e-05,0.0145904761904762,0.000342857142857143,0,3.80952380952381e-05,3.80952380952381e-05,0.000533333333333333,0.0112,0.016952380952381,0.00019047619047619,0,0.000266666666666667,0.00300952380952381,7.61904761904762e-05,0,0.00060952380952381,0.00019047619047619,0,0.00019047619047619,0.113066666666667,0.0527619047619048,0.000533333333333333,0,0,3.80952380952381e-05,0.000152380952380952,0.00910476190476191
"T3.Nakitembe.Ctrl",0,0.0260190476190476,0.000152380952380952,0.00019047619047619,0.000114285714285714,0,0.00544761904761905,0.000838095238095238,7.61904761904762e-05,0.0134857142857143,0.171428571428571,0,0.00148571428571429,0.000114285714285714,0.11047619047619,0.000152380952380952,7.61904761904762e-05,3.80952380952381e-05,0.000761904761904762,3.80952380952381e-05,3.80952380952381e-05,0.000533333333333333,0.00350476190476191,0.00403809523809524,7.61904761904762e-05,8e-04,0.000571428571428571,0.000114285714285714,3.80952380952381e-05,0.00358095238095238,0.000114285714285714,0.00624761904761905,0.000380952380952381,0,0.000380952380952381,3.80952380952381e-05,0.000304761904761905,0,0.00156190476190476,3.80952380952381e-05,3.80952380952381e-05,0,0.000266666666666667,0,0.000266666666666667,0.422933333333333,0.0410666666666667,0.000342857142857143,0.000533333333333333,3.80952380952381e-05,0,0.00019047619047619,3.80952380952381e-05,0.00213333333333333,7.61904761904762e-05,0,3.80952380952381e-05,0.00708571428571429,0,0.000114285714285714,0.000952380952380952,0.000114285714285714,0.000647619047619048,0.0132952380952381,0.0242666666666667,0.000457142857142857,0,0.000380952380952381,0.00121904761904762,0,3.80952380952381e-05,0.000457142857142857,0.00019047619047619,7.61904761904762e-05,0.000304761904761905,0.0881904761904762,0.0339809523809524,0.000533333333333333,0,3.80952380952381e-05,0,0.000228571428571429,0.00620952380952381
