"Bacteria;Abditibacteriota;Abditibacteria","Bacteria;Acidobacteriota;Acidobacteriae","Bacteria;Acidobacteriota;Blastocatellia","Bacteria;Acidobacteriota;Holophagae","Bacteria;Acidobacteriota;Subgroup 11","Bacteria;Acidobacteriota;Subgroup 22","Bacteria;Acidobacteriota;Subgroup 5","Bacteria;Acidobacteriota;Thermoanaerobaculia","Bacteria;Acidobacteriota;Vicinamibacteria","Bacteria;Actinobacteriota;Acidimicrobiia","Bacteria;Actinobacteriota;Actinobacteria","Bacteria;Actinobacteriota;Coriobacteriia","Bacteria;Actinobacteriota;MB-A2-108","Bacteria;Actinobacteriota;Rubrobacteria","Bacteria;Actinobacteriota;Thermoleophilia","Bacteria;Armatimonadota;Armatimonadia","Bacteria;Armatimonadota;Fimbriimonadia","Bacteria;Armatimonadota;uncultured","Bacteria;Bacteroidota;Bacteroidia","Bacteria;Bacteroidota;Kapabacteria","Bacteria;Bacteroidota;SJA-28","Bacteria;Bdellovibrionota;Bdellovibrionia","Bacteria;Bdellovibrionota;Oligoflexia","Bacteria;Chloroflexi;AD3","Bacteria;Chloroflexi;Anaerolineae","Bacteria;Chloroflexi;Chloroflexia","Bacteria;Chloroflexi;Dehalococcoidia","Bacteria;Chloroflexi;JG30-KF-CM66","Bacteria;Chloroflexi;KD4-96","Bacteria;Chloroflexi;Ktedonobacteria","Bacteria;Chloroflexi;NA","Bacteria;Chloroflexi;TK10","Bacteria;Cyanobacteria;Sericytochromatia","Bacteria;Deinococcota;Deinococci","Bacteria;Dependentiae;Babeliae","Bacteria;Desulfobacterota;Desulfovibrionia","Bacteria;Desulfobacterota;Desulfuromonadia","Bacteria;Desulfobacterota;Syntrophobacteria","Bacteria;Desulfobacterota;uncultured","Bacteria;Elusimicrobiota;Elusimicrobia","Bacteria;Elusimicrobiota;Lineage IIa","Bacteria;Elusimicrobiota;Lineage IIb","Bacteria;Entotheonellaeota;Entotheonellia","Bacteria;FCPU426;NA","Bacteria;Fibrobacterota;Fibrobacteria","Bacteria;Firmicutes;Bacilli","Bacteria;Firmicutes;Clostridia","Bacteria;Firmicutes;Desulfitobacteriia","Bacteria;Firmicutes;Desulfotomaculia","Bacteria;Firmicutes;Dethiobacteria","Bacteria;Firmicutes;Limnochordia","Bacteria;Firmicutes;NA","Bacteria;Firmicutes;Negativicutes","Bacteria;Firmicutes;Symbiobacteriia","Bacteria;Firmicutes;Syntrophomonadia","Bacteria;Firmicutes;Thermoanaerobacteria","Bacteria;Gemmatimonadota;BD2-11 terrestrial group","Bacteria;Gemmatimonadota;Gemmatimonadetes","Bacteria;Gemmatimonadota;Longimicrobia","Bacteria;Gemmatimonadota;S0134 terrestrial group","Bacteria;Halanaerobiaeota;Halanaerobiia","Bacteria;Methylomirabilota;Methylomirabilia","Bacteria;Myxococcota;bacteriap25","Bacteria;Myxococcota;Myxococcia","Bacteria;Myxococcota;Polyangia","Bacteria;NA;NA","Bacteria;NB1-j;NA","Bacteria;NB1-j;uncultured bacterium","Bacteria;Nitrospirota;Nitrospiria","Bacteria;Patescibacteria;Saccharimonadia","Bacteria;Planctomycetota;OM190","Bacteria;Planctomycetota;Phycisphaerae","Bacteria;Planctomycetota;Pla4 lineage","Bacteria;Planctomycetota;Planctomycetes","Bacteria;Planctomycetota;vadinHA49","Bacteria;Proteobacteria;Alphaproteobacteria","Bacteria;Proteobacteria;Gammaproteobacteria","Bacteria;RCP2-54;uncultured bacterium","Bacteria;SAR324 clade(Marine group B);uncultured bacterium","Bacteria;Spirochaetota;Leptospirae","Bacteria;Spirochaetota;Spirochaetia","Bacteria;Verrucomicrobiota;Chlamydiae","Bacteria;Verrucomicrobiota;Verrucomicrobiae"
"UG.GR.T2.NN.ER.10",0,0.0114285714285714,0,0,0,0,0.000571428571428571,0,0,0.00285714285714286,0.0708571428571429,0,0.000571428571428571,0,0.0611428571428571,0,0,0,0.000571428571428571,0,0,0,0.00342857142857143,0.000571428571428571,0,0.000571428571428571,0,0,0,0.00171428571428571,0,0.000571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0.758285714285714,0.0137142857142857,0,0,0,0,0,0,0,0.000571428571428571,0,0,0.004,0,0,0,0,0,0.00514285714285714,0.00514285714285714,0,0,0.000571428571428571,0.000571428571428571,0,0,0,0,0,0,0.0354285714285714,0.0102857142857143,0,0,0,0,0,0.0114285714285714
"UG.GR.T2.NN.ER.11",0,0.0114285714285714,0,0,0,0.000571428571428571,0,0.000571428571428571,0,0.008,0.105142857142857,0,0,0,0.0417142857142857,0,0,0,0,0,0,0.00114285714285714,0.00228571428571429,0,0,0,0.00114285714285714,0,0.000571428571428571,0.000571428571428571,0,0.00114285714285714,0.000571428571428571,0,0,0,0.00114285714285714,0,0.000571428571428571,0,0,0,0,0,0,0.677714285714286,0.0308571428571429,0.00457142857142857,0.00114285714285714,0,0,0,0,0,0,0,0,0.00742857142857143,0,0,0,0,0,0.02,0.00742857142857143,0,0,0,0,0,0,0.000571428571428571,0,0,0,0.0371428571428571,0.0308571428571429,0.000571428571428571,0,0,0,0,0.00514285714285714
"UG.GR.T2.NN.ER.12",0,0.00742857142857143,0,0,0,0,0,0,0,0.00171428571428571,0.0782857142857143,0,0,0,0.044,0,0,0,0,0,0,0.00171428571428571,0,0.000571428571428571,0,0.000571428571428571,0.000571428571428571,0,0,0.000571428571428571,0,0.00228571428571429,0,0,0.000571428571428571,0,0,0,0.000571428571428571,0,0,0,0,0,0,0.789714285714286,0.00514285714285714,0,0,0,0,0.000571428571428571,0,0,0,0,0,0.00457142857142857,0,0,0,0,0,0.00171428571428571,0.004,0,0,0,0,0,0,0.00114285714285714,0,0,0,0.0262857142857143,0.024,0,0,0,0,0,0.004
"UG.GR.T2.NN.ER.13",0,0.0222857142857143,0,0,0,0,0.000571428571428571,0.000571428571428571,0,0.00914285714285714,0.111428571428571,0.000571428571428571,0,0,0.0982857142857143,0.000571428571428571,0,0,0.000571428571428571,0,0,0.00114285714285714,0.00285714285714286,0,0,0.00171428571428571,0.00114285714285714,0.00114285714285714,0.000571428571428571,0.000571428571428571,0,0.00457142857142857,0.00114285714285714,0,0.000571428571428571,0,0.00457142857142857,0,0,0.000571428571428571,0,0,0,0,0.000571428571428571,0.471428571428571,0.0862857142857143,0.00228571428571429,0,0,0,0,0,0.000571428571428571,0,0,0,0.00685714285714286,0,0,0,0,0,0.0108571428571429,0.0137142857142857,0,0,0,0.00114285714285714,0,0,0,0,0,0.000571428571428571,0.0805714285714286,0.0428571428571429,0,0,0,0,0,0.0177142857142857
"UG.GR.T2.NN.ER.14",0,0.00971428571428572,0,0,0,0,0.00114285714285714,0.000571428571428571,0,0.00914285714285714,0.292571428571429,0,0.00114285714285714,0,0.128,0,0,0,0,0,0,0,0.000571428571428571,0.00342857142857143,0,0.000571428571428571,0.000571428571428571,0,0,0.00285714285714286,0,0.00457142857142857,0.000571428571428571,0,0,0,0.000571428571428571,0,0.00171428571428571,0,0,0,0,0,0,0.448571428571429,0.012,0,0,0,0.000571428571428571,0,0,0.000571428571428571,0,0,0,0.00742857142857143,0,0,0,0,0,0.00457142857142857,0.00514285714285714,0,0,0,0.00114285714285714,0.000571428571428571,0,0,0,0,0,0.0417142857142857,0.0148571428571429,0,0,0,0,0,0.00514285714285714
"UG.GR.T2.NN.ER.15",0,0.028,0,0,0,0,0.00342857142857143,0.000571428571428571,0,0.016,0.289142857142857,0,0.00171428571428571,0,0.142857142857143,0,0,0,0,0,0,0,0.00114285714285714,0.00171428571428571,0,0.00114285714285714,0.000571428571428571,0,0,0.00171428571428571,0.000571428571428571,0.00457142857142857,0.000571428571428571,0,0,0,0,0,0,0,0,0,0,0,0.000571428571428571,0.339428571428571,0.0154285714285714,0.000571428571428571,0.000571428571428571,0,0,0,0,0,0,0,0,0.00742857142857143,0,0,0,0,0.000571428571428571,0.00571428571428571,0.0142857142857143,0,0,0,0.00114285714285714,0,0,0.000571428571428571,0,0,0,0.0645714285714286,0.0451428571428571,0,0,0,0,0,0.0102857142857143
"UG.GR.T2.NN.ER.2",0,0.0217142857142857,0,0,0,0,0.008,0,0,0.00742857142857143,0.182285714285714,0,0.000571428571428571,0.000571428571428571,0.111428571428571,0.000571428571428571,0,0,0.000571428571428571,0,0,0,0.000571428571428571,0.00171428571428571,0,0.00114285714285714,0,0,0.000571428571428571,0.00285714285714286,0,0.00342857142857143,0,0,0.000571428571428571,0,0,0,0,0,0,0,0,0,0,0.52,0.0417142857142857,0.00114285714285714,0,0,0,0,0,0.000571428571428571,0,0,0,0.00685714285714286,0,0.000571428571428571,0,0,0,0.00628571428571429,0.0211428571428571,0,0,0,0.000571428571428571,0,0,0,0,0,0,0.0371428571428571,0.0148571428571429,0,0,0,0,0,0.00514285714285714
"UG.GR.T2.NN.ER.3",0,0.00914285714285714,0.00114285714285714,0,0,0,0.000571428571428571,0.000571428571428571,0,0.00342857142857143,0.0754285714285714,0,0,0.000571428571428571,0.068,0,0,0,0.000571428571428571,0,0,0,0.00514285714285714,0.000571428571428571,0,0,0.000571428571428571,0,0.00285714285714286,0.000571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0.000571428571428571,0,0,0.734285714285714,0.012,0.000571428571428571,0,0,0,0,0,0.000571428571428571,0,0,0,0.008,0,0,0,0,0,0.008,0.0114285714285714,0,0,0,0,0,0,0.000571428571428571,0,0.000571428571428571,0,0.0262857142857143,0.0165714285714286,0,0,0,0,0,0.0114285714285714
"UG.GR.T2.NN.ER.4",0,0.0205714285714286,0,0,0,0,0.00342857142857143,0.000571428571428571,0,0.00514285714285714,0.184,0,0,0,0.117142857142857,0,0,0,0,0,0,0,0.00342857142857143,0.00285714285714286,0,0.000571428571428571,0,0,0,0.00114285714285714,0,0.00342857142857143,0.00114285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0.529714285714286,0.0165714285714286,0.00114285714285714,0,0,0.00114285714285714,0,0,0,0,0,0,0.0102857142857143,0,0,0,0,0,0.02,0.0131428571428571,0,0,0.000571428571428571,0.00285714285714286,0,0,0.000571428571428571,0,0,0,0.0348571428571429,0.0188571428571429,0,0,0,0,0.000571428571428571,0.00628571428571429
"UG.GR.T2.NN.ER.5",0.000571428571428571,0.0131428571428571,0,0,0,0,0.00171428571428571,0.000571428571428571,0,0.008,0.147428571428571,0,0.00171428571428571,0.00114285714285714,0.149714285714286,0,0,0,0.000571428571428571,0,0,0.00171428571428571,0.00285714285714286,0.000571428571428571,0,0,0,0.000571428571428571,0,0.00228571428571429,0.00114285714285714,0.00628571428571429,0,0,0.000571428571428571,0,0,0,0.000571428571428571,0,0,0,0.000571428571428571,0,0,0.553142857142857,0.0188571428571429,0.000571428571428571,0,0,0,0,0,0.004,0,0,0,0.00685714285714286,0,0,0,0,0.000571428571428571,0.00971428571428572,0.016,0,0,0,0.000571428571428571,0,0,0.000571428571428571,0.000571428571428571,0,0,0.0262857142857143,0.0125714285714286,0,0,0,0,0,0.008
"UG.GR.T2.NN.ER.6",0,0.00914285714285714,0,0,0,0,0.00171428571428571,0,0,0.004,0.277714285714286,0,0.00114285714285714,0,0.068,0.000571428571428571,0,0,0.000571428571428571,0,0,0,0.004,0,0,0.00171428571428571,0,0,0,0.00171428571428571,0,0.000571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0.000571428571428571,0.52,0.00571428571428572,0,0,0,0,0,0,0.000571428571428571,0,0,0,0.00857142857142857,0,0,0,0,0.00114285714285714,0.004,0.00742857142857143,0,0,0,0,0.000571428571428571,0,0.000571428571428571,0,0,0.000571428571428571,0.0331428571428571,0.0394285714285714,0,0,0,0,0,0.00685714285714286
"UG.GR.T2.NN.ER.7",0,0.0131428571428571,0,0,0,0,0.000571428571428571,0.00114285714285714,0,0.00342857142857143,0.280571428571429,0,0,0,0.0691428571428571,0,0,0,0.000571428571428571,0,0,0.000571428571428571,0.00114285714285714,0.00114285714285714,0,0.00171428571428571,0.000571428571428571,0,0,0.000571428571428571,0,0.00285714285714286,0,0,0,0,0,0,0.000571428571428571,0,0,0,0,0,0,0.5,0.00914285714285714,0,0,0,0,0,0,0.000571428571428571,0,0,0,0.00514285714285714,0,0,0,0,0,0.00914285714285714,0.00857142857142857,0,0,0,0.000571428571428571,0,0,0.00171428571428571,0,0,0.000571428571428571,0.0474285714285714,0.0348571428571429,0,0,0,0,0,0.00457142857142857
"UG.GR.T2.NN.ER.8",0,0.016,0,0,0,0,0.00171428571428571,0.00171428571428571,0,0.00628571428571429,0.309142857142857,0,0.000571428571428571,0,0.110857142857143,0,0,0,0,0,0,0,0.00457142857142857,0.000571428571428571,0,0.00114285714285714,0.00114285714285714,0,0,0.00114285714285714,0,0.00171428571428571,0,0,0,0,0,0,0.00114285714285714,0,0,0,0,0,0.000571428571428571,0.436,0.00342857142857143,0,0,0,0,0,0,0,0,0,0,0.00628571428571429,0,0,0,0,0.000571428571428571,0.00171428571428571,0.0102857142857143,0,0,0,0.00114285714285714,0,0,0,0,0,0,0.0474285714285714,0.0302857142857143,0,0,0,0,0,0.00457142857142857
"UG.GR.T2.NN.ER.9",0,0.0474285714285714,0.000571428571428571,0,0.000571428571428571,0,0.00628571428571429,0.00171428571428571,0,0.0137142857142857,0.129714285714286,0,0.00742857142857143,0,0.188,0,0,0,0,0,0,0,0.00228571428571429,0,0,0.00228571428571429,0,0.00114285714285714,0,0.00228571428571429,0.000571428571428571,0.00971428571428571,0,0,0,0,0,0,0.004,0,0,0,0.000571428571428571,0,0,0.385142857142857,0.0125714285714286,0.00114285714285714,0.000571428571428571,0,0,0,0,0,0,0,0,0.0131428571428571,0,0,0,0,0.000571428571428571,0.00457142857142857,0.0137142857142857,0.00114285714285714,0,0,0.000571428571428571,0,0,0.000571428571428571,0,0,0,0.111428571428571,0.0262857142857143,0.00228571428571429,0,0,0,0,0.008
"UG.GR.T5.Nb.ER.1",0,0.0188571428571429,0,0.000571428571428571,0,0,0.00114285714285714,0,0,0.012,0.122285714285714,0,0,0,0.0577142857142857,0.00114285714285714,0.000571428571428571,0,0.00228571428571429,0,0,0.00114285714285714,0.00571428571428571,0.00285714285714286,0,0.00171428571428571,0.000571428571428571,0.000571428571428571,0,0.00228571428571429,0,0.00342857142857143,0.000571428571428571,0,0,0,0.00228571428571429,0,0.00114285714285714,0,0,0.000571428571428571,0,0,0,0.512571428571429,0.0222857142857143,0.004,0.000571428571428571,0,0,0,0,0,0,0,0,0.00742857142857143,0,0,0,0,0.000571428571428571,0.0102857142857143,0.0228571428571429,0,0,0,0.000571428571428571,0,0,0,0.000571428571428571,0,0,0.121142857142857,0.0502857142857143,0.000571428571428571,0,0,0,0,0.00685714285714286
"UG.GR.T5.Nb.ER.10",0.000571428571428571,0.00971428571428572,0,0,0,0,0.00228571428571429,0.000571428571428571,0,0.00571428571428571,0.268571428571429,0,0,0.000571428571428571,0.0988571428571429,0,0,0,0.00114285714285714,0,0,0.00171428571428571,0.00171428571428571,0.00228571428571429,0,0.000571428571428571,0.00285714285714286,0,0,0.00228571428571429,0,0.00742857142857143,0.000571428571428571,0,0,0,0.00228571428571429,0.000571428571428571,0.000571428571428571,0.000571428571428571,0,0,0,0,0,0.404571428571429,0.0594285714285714,0.000571428571428571,0.000571428571428571,0,0,0,0,0,0.00171428571428571,0,0,0.00342857142857143,0,0,0,0,0,0.00914285714285714,0.00742857142857143,0,0,0,0,0,0,0,0,0,0,0.0714285714285714,0.0251428571428571,0,0,0,0,0,0.00514285714285714
"UG.GR.T5.Nb.ER.11",0,0.0177142857142857,0,0.000571428571428571,0,0,0.000571428571428571,0,0.000571428571428571,0.00114285714285714,0.0468571428571429,0,0,0,0.0417142857142857,0,0,0,0.00228571428571429,0,0,0.00228571428571429,0.00628571428571429,0,0,0.00114285714285714,0.00171428571428571,0,0,0,0,0.00228571428571429,0.00285714285714286,0,0.000571428571428571,0,0.00171428571428571,0,0,0,0,0,0,0,0,0.630857142857143,0.0845714285714286,0,0,0,0,0.00171428571428571,0,0.00285714285714286,0,0,0,0.00914285714285714,0,0,0.000571428571428571,0,0,0.0125714285714286,0.00628571428571429,0.000571428571428571,0,0,0.00171428571428571,0,0,0.000571428571428571,0,0,0.00114285714285714,0.0714285714285714,0.0354285714285714,0,0,0,0,0.000571428571428571,0.00971428571428572
